"Site Crawled","https://dunhamlaw.com/"
"Start Date","2026-03-01"
"Start Time","12:49:56"
"Last Modified Date","2026-03-01"
"Last Modified Time","13:30:35"
"Elapsed","00:40:39"
"Report Date","2026-03-01"
"Report Time","13:52:11"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Incorrectly Sized Images","0","0.00%","8057","Images with 2xx response"
"Missing Size Attributes","1","0.01%","8057","Images with 2xx response"
""
"Canonicals"
"All","1216","100.00%","1216","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","923","75.90%","1216","Internal HTML or PDF pages with 2xx response"
"Self Referencing","882","72.53%","1216","Internal HTML or PDF pages with 2xx response"
"Canonicalised","41","3.37%","1216","Internal HTML or PDF pages with 2xx response"
"Missing","288","23.68%","1216","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","1","0.08%","1216","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","1216","Internal HTML or PDF pages with 2xx response"
"Outside <head>","288","23.68%","1216","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
"Contains Pagination","4","0.33%","1216","Internal HTML pages with 2xx response"
"First Page","2","0.16%","1216","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","2","0.16%","1216","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","2","0.16%","1216","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","1216","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","1216","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Directives"
"All","1772","100.00%","1772","Internal URLs with 2xx response"
"Index","1211","68.34%","1772","Internal URLs with 2xx response"
"Noindex","23","1.30%","1772","Internal URLs with 2xx response"
"Follow","1229","69.36%","1772","Internal URLs with 2xx response"
"Nofollow","4","0.23%","1772","Internal URLs with 2xx response"
"None","0","0.00%","1772","Internal URLs with 2xx response"
"NoArchive","1","0.06%","1772","Internal URLs with 2xx response"
"NoSnippet","1","0.06%","1772","Internal URLs with 2xx response"
"Max-Snippet","1210","68.28%","1772","Internal URLs with 2xx response"
"Max-Image-Preview","1211","68.34%","1772","Internal URLs with 2xx response"
"Max-Video-Preview","1211","68.34%","1772","Internal URLs with 2xx response"
"NoODP","0","0.00%","1772","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","1772","Internal URLs with 2xx response"
"NoImageIndex","1","0.06%","1772","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","1772","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","1772","Internal URLs with 2xx response"
"Refresh","0","0.00%","1548","Internal HTML pages with 2xx response"
"Outside <head>","288","16.25%","1772","Internal URLs with 2xx response"
""
"Hreflang"
"All","1216","100.00%","1216","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","1216","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","1216","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","1216","Internal pages with 2xx response"
